epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,277.583,0.42013,1.31024,0.92439,0.95616,0.92537,0.96426,0.90388,0.33173,1.41997,0.8997,0.000651515,0.000651515,0.000651515
2,614.082,0.45593,0.94209,0.93119,0.81648,0.88485,0.91157,0.67706,0.63316,1.91016,1.03871,0.00129208,0.00129208,0.00129208
3,829.32,0.47497,0.86013,0.94867,0.97509,0.94888,0.97947,0.87543,0.47672,1.04087,1.02494,0.00190625,0.00190625,0.00190625
4,1034.45,0.47777,0.78447,0.9399,0.79414,0.89697,0.94573,0.76854,0.47102,1.55668,0.96833,0.0018812,0.0018812,0.0018812
5,1239.95,0.44688,0.72056,0.936,0.97769,0.96364,0.98171,0.95678,0.2766,0.71127,0.86474,0.0018416,0.0018416,0.0018416
6,1464.19,0.43276,0.64035,0.93408,0.99228,0.96364,0.97824,0.96187,0.26181,0.75542,0.85365,0.001802,0.001802,0.001802
7,1702.52,0.42212,0.65752,0.92054,0.98651,0.95758,0.98191,0.96809,0.25797,0.60769,0.86223,0.0017624,0.0017624,0.0017624
8,1931.75,0.42162,0.6125,0.93385,0.98762,0.97576,0.98468,0.97491,0.2319,0.51429,0.84146,0.0017228,0.0017228,0.0017228
9,2159.53,0.3931,0.56144,0.91201,0.98521,0.96364,0.98438,0.9659,0.25188,0.32189,0.84371,0.0016832,0.0016832,0.0016832
10,2447.75,0.39905,0.54993,0.91411,0.99366,0.94966,0.98244,0.97188,0.25348,0.4267,0.85126,0.0016436,0.0016436,0.0016436
11,2944.67,0.38842,0.5589,0.90836,0.95842,0.97791,0.98376,0.96335,0.24443,0.51403,0.84792,0.001604,0.001604,0.001604
12,3361.55,0.38643,0.54182,0.91237,0.98569,0.9697,0.98207,0.97009,0.21564,0.37192,0.83861,0.0015644,0.0015644,0.0015644
13,3594.7,0.37679,0.53029,0.91736,1,0.96295,0.98364,0.96517,0.22654,0.33631,0.82838,0.0015248,0.0015248,0.0015248
14,3900.59,0.36106,0.49995,0.90258,0.98856,0.98182,0.98648,0.95884,0.24385,0.31788,0.84729,0.0014852,0.0014852,0.0014852
15,4121.59,0.35011,0.48286,0.90201,0.9878,0.98113,0.98528,0.9803,0.18242,0.24468,0.81645,0.0014456,0.0014456,0.0014456
16,4344.47,0.35705,0.50485,0.90299,0.97746,0.97576,0.98443,0.97561,0.21942,0.28881,0.83746,0.001406,0.001406,0.001406
17,4573.15,0.35061,0.48897,0.90194,0.98174,0.97773,0.98484,0.97855,0.19662,0.32335,0.82775,0.0013664,0.0013664,0.0013664
18,4798.09,0.32481,0.44267,0.89134,0.97853,0.96364,0.98406,0.97724,0.17068,0.28923,0.81233,0.0013268,0.0013268,0.0013268
19,5036.04,0.3533,0.48525,0.8985,0.98502,0.9697,0.98471,0.97906,0.16377,0.20867,0.81147,0.0012872,0.0012872,0.0012872
20,5391.88,0.32261,0.47804,0.88644,1,0.95669,0.98844,0.97022,0.17805,0.23383,0.82126,0.0012476,0.0012476,0.0012476
21,5795.19,0.32091,0.44287,0.88157,1,0.97521,0.98595,0.97575,0.17522,0.19827,0.82284,0.001208,0.001208,0.001208
22,6025.36,0.3299,0.45333,0.89411,1,0.9695,0.9849,0.97064,0.18815,0.27804,0.81952,0.0011684,0.0011684,0.0011684
